Library,Size (MB)
Flask-Cors,0.05706977844238281
Flask-Migrate,0.09599781036376953
Mako,0.6037740707397461
MarkupSafe,0.05071735382080078
SQLAlchemy,16.608153343200684
StrEnum,0.03855419158935547
aiohappyeyeballs,0.03830528259277344
aiohttp,2.2351770401000977
aiosignal,0.002765655517578125
alembic,1.901597023010254
annotated-types,0.04979228973388672
anyio,0.8583450317382812
async-timeout,0.019542694091796875
attrs,0.011416435241699219
blinker,0.05336284637451172
certifi,0.2897491455078125
click,0.7559032440185547
colorama,0.14237213134765625
deprecation,0.0
exceptiongroup,0.08050060272216797
flask,0.6687650680541992
flask-sqlalchemy,0.1581583023071289
frozenlist,0.0938405990600586
gotrue,0.40841197967529297
greenlet,0.8989324569702148
h11,0.3705911636352539
h2,0.42574596405029297
hpack,0.38935089111328125
httpcore,0.5729713439941406
httpx,0.5957393646240234
hyperframe,0.07872486114501953
idna,0.5930347442626953
itsdangerous,0.08695125579833984
jinja2,1.1021413803100586
joblib,1.8037567138671875
multidict,0.10478591918945312
numpy,28.72212505340576
packaging,0.4270753860473633
pandas,63.38751220703125
pgvector,0.12598133087158203
pip,13.205109596252441
postgrest,0.1536550521850586
propcache,0.08252716064453125
psycopg2-binary,0.0
pydantic,3.320402145385742
pydantic-core,5.370780944824219
python-dateutil,0.0
python-dotenv,0.0
pytz,0.9560403823852539
realtime,0.13254165649414062
scikit-surprise,0.0
scipy,126.36765098571777
setuptools,7.894258499145508
six,0.0
sniffio,0.01290130615234375
storage3,0.11287689208984375
supabase,0.0769491195678711
supafunc,0.02905750274658203
surprise,7.127013206481934
typing-extensions,0.0
tzdata,0.49421215057373047
websockets,1.0922212600708008
werkzeug,1.5781822204589844
yarl,0.25719356536865234
autocommand,0.04223060607910156
backports.tarfile,0.0
importlib-metadata,0.12302017211914062
inflect,0.20769596099853516
jaraco.collections,0.0
jaraco.context,0.0
jaraco.functools,0.0
jaraco.text,0.0
more-itertools,0.39513397216796875
platformdirs,0.14466571807861328
tomli,0.05540943145751953
typeguard,0.2594423294067383
wheel,0.4228191375732422
zipp,0.04357337951660156
